,Municipality,Province,Inhabitants,Total area,Land area,Inhabitants per square km,Average household income,Latitude,Longitude
171,Leidschendam-Voorburg,Zuid-Holland,75405.0,35.62,32.55,2302.0,32400.0,52.09260105,4.43212497207516
172,Lelystad,Flevoland,77872.0,765.45,230.32,336.0,27300.0,52.53668095,5.3610435254128
173,Leudal,Limburg,35671.0,164.91,162.73,220.0,30300.0,51.2339148,5.89585313998546
174,Leusden,Utrecht (provincie),30028.0,58.89,58.54,508.0,33600.0,52.1187668,5.41711889973408
175,Lingewaard,Gelderland,46466.0,69.14,62.0,748.0,29900.0,51.9074337,5.94397213147062
176,Lisse,Zuid-Holland,22807.0,16.05,15.69,1450.0,30800.0,52.2540183,4.54192802967581
177,Lochem,Gelderland,33600.0,215.94,213.03,158.0,32600.0,52.158485,6.4143596
178,Loon op Zand,Noord-Brabant,23333.0,50.71,49.94,463.0,30100.0,51.6264405,5.0687815
179,Lopik,Utrecht (provincie),14477.0,78.98,75.57,190.0,32100.0,51.9752848,4.9491743
180,Loppersum,Groningen (provincie),9617.0,111.99,111.04,88.0,27400.0,53.3331502,6.7456942
181,Losser,Overijssel,22614.0,99.62,98.76,228.0,28100.0,52.2621361,7.0047679
182,Maasdriel,Gelderland,24703.0,75.46,66.11,368.0,30800.0,51.7853378,5.3167925055846
183,Maasgouw,Limburg,23718.0,58.12,45.71,518.0,30200.0,51.157703,5.89454297586926
184,Maassluis,Zuid-Holland,32786.0,10.12,8.48,3836.0,28600.0,51.9266671,4.24400065715733
185,Maastricht,Limburg,121623.0,60.12,55.99,2192.0,26800.0,50.8579855,5.69698811694244
186,Medemblik,Noord-Holland,44833.0,257.56,121.42,366.0,29500.0,52.768691,5.106195
187,Meerssen,Limburg,18923.0,27.7,26.96,706.0,31700.0,50.8850867,5.7529708
188,Meierijstad,Noord-Brabant,80823.0,185.52,184.09,435.0,31700.0,51.58844725,5.51639010470067
189,Meppel,Drenthe,33573.0,57.03,55.53,602.0,27800.0,52.71174435,6.19730732516372
190,Middelburg,Zeeland,48548.0,53.04,48.42,998.0,28600.0,51.50529485,3.61007100494229
191,Midden-Delfland,Zuid-Holland,19401.0,49.38,47.19,410.0,35500.0,51.97058165,4.32298095130087
192,Midden-Drenthe,Drenthe,33179.0,345.87,340.51,97.0,28900.0,52.87061935,6.5680558586578
193,Midden-Groningen,Groningen (provincie),60956.0,295.77,280.0,218.0,,53.1846736,6.77957351472961
194,Mill en Sint Hubert,Noord-Brabant,10889.0,53.17,52.23,207.0,29800.0,51.67911945,5.78699327214527
195,Moerdijk,Noord-Brabant,36963.0,184.03,159.15,232.0,30000.0,51.7033761,4.6259107
196,Molenlanden,Zuid-Holland,43871.0,,,,,51.89150435,4.83650264991257
197,Montferland,Gelderland,36028.0,106.64,105.7,337.0,28300.0,51.92400575,6.20551460161522
198,Montfoort,Utrecht (provincie),13996.0,38.2,37.57,369.0,33200.0,52.0387833,4.95608768463507
199,Mook en Middelaar,Limburg,7808.0,18.81,17.38,447.0,34300.0,51.74830635,5.90640637336831
200,Neder-Betuwe,Gelderland,24039.0,67.46,59.98,394.0,29000.0,51.92150995,5.6161232657105
201,Nederweert,Limburg,17005.0,101.78,99.98,170.0,29600.0,51.2856418,5.7496037
202,Nieuwegein,Utrecht (provincie),63055.0,25.65,23.51,2656.0,29200.0,52.0298704,5.09293340872922
203,Nieuwkoop,Zuid-Holland,28637.0,91.16,78.05,362.0,33400.0,52.1405891,4.7866964979
204,Nijkerk,Gelderland,42947.0,72.04,69.34,610.0,31500.0,52.2220116,5.4823124
205,Nijmegen,Gelderland,176707.0,57.6,53.06,3316.0,27100.0,51.84257485,5.83896062874823
206,Nissewaard,Zuid-Holland,84797.0,83.79,73.58,1150.0,28800.0,51.82787345,4.30528430592403
207,Noardeast-Fryslân,Friesland,45144.0,,,,,53.3681579,5.93890013514719
208,Noord-Beveland,Zeeland,7309.0,121.58,85.96,85.0,29100.0,51.56520675,3.80090957337831
209,Noordenveld,Drenthe,31270.0,205.29,199.41,162.0,29600.0,53.0953746,6.42084429673467
210,Noordoostpolder,Flevoland,46863.0,595.42,459.81,101.0,28200.0,52.7264415,5.70360560454972
211,Noordwijk,Zuid-Holland,42861.0,51.52,35.78,728.0,34800.0,52.2698999,4.45268588175161
212,Nuenen. Gerwen en Nederwetten,Noord-Brabant,23198.0,33.94,33.71,683.0,34400.0,51.48603,5.54400698882424
213,Nunspeet,Gelderland,27485.0,129.53,128.74,211.0,29600.0,52.37852,5.78078
214,Oegstgeest,Zuid-Holland,24432.0,7.97,7.31,3269.0,39100.0,52.1833669,4.47212943391864
215,Oirschot,Noord-Brabant,18627.0,102.84,101.78,182.0,32700.000000000004,51.5032385,5.3155486
216,Oisterwijk,Noord-Brabant,26128.0,65.13,63.84,409.0,34300.0,51.5778742,5.1938101
217,Oldambt,Groningen (provincie),38121.0,295.96,226.66,168.0,25000.0,53.2223408,7.06898239206217
218,Oldebroek,Gelderland,23594.0,98.84,97.65,241.0,27800.0,52.4456068,5.8990319
219,Oldenzaal,Overijssel,31855.0,21.95,21.55,1481.0,28100.0,52.30853685,6.91460374312224
220,Olst-Wijhe,Overijssel,18069.0,118.37,113.84,158.0,30100.0,52.3756076,6.14651065157313
221,Ommen,Overijssel,17817.0,182.01,179.9,98.0,29500.0,52.5208712,6.4253741
222,Oost Gelre,Gelderland,29700.0,110.44,109.93,270.0,29600.0,52.0153031,6.56101032746153
223,Oosterhout,Noord-Brabant,55610.0,73.09,71.47,772.0,29700.0,51.64447245,4.85136556866659
224,Ooststellingwerf,Friesland,25498.0,226.11,223.42,114.0,27000.0,52.99085895,6.30496375282077
225,Oostzaan,Noord-Holland,9755.0,16.08,11.53,845.0,32600.0,52.45218065,4.86854873250502
226,Opmeer,Noord-Holland,11779.0,41.94,41.5,278.0,30400.0,52.70438175,4.92856803713141
227,Opsterland,Friesland,29715.0,227.64,224.4,133.0,28500.0,53.04680105,6.09513572382903
228,Oss,Noord-Brabant,91437.0,170.93,163.16,557.0,29100.0,51.7649771,5.51138220829049
229,Oude IJsselstreek,Gelderland,39462.0,137.95,136.15,290.0,27500.0,51.90269995,6.39175330538544
230,Ouder-Amstel,Noord-Holland,13915.0,25.78,24.08,561.0,36400.0,52.2946678,4.91646890749465
231,Oudewater,Utrecht (provincie),10199.0,40.1,38.9,262.0,33500.0,52.02015625,4.89655977520417
232,Overbetuwe,Gelderland,47532.0,115.08,109.19,435.0,30500.0,51.92196125,5.78608154908832
233,Papendrecht,Zuid-Holland,32293.0,10.79,9.41,3427.0,30300.0,51.83482915,4.70479437720194
234,Peel en Maas,Limburg,43311.0,161.35,159.37,272.0,29900.0,51.33064175,5.97936370577334
235,Pekela,Groningen (provincie),12207.0,50.2,49.04,250.0,24500.0,53.0670783,6.96598796002487
236,Pijnacker-Nootdorp,Zuid-Holland,54321.0,38.62,37.08,1446.0,34300.0,52.0111357,4.42684813807231
237,Purmerend,Noord-Holland,80147.0,24.56,23.15,3454.0,28600.0,52.4997208,4.96442003688997
238,Putten,Gelderland,24200.0,87.5,85.22,285.0,31200.0,52.2608751,5.6100469
239,Raalte,Overijssel,37512.0,172.29,170.99,217.0,29500.0,52.3857034,6.2718277
240,Reimerswaal,Zeeland,22670.0,242.42,101.8,222.0,28400.0,51.44300185,4.10144103115675
241,Renkum,Gelderland,31304.0,47.23,45.95,682.0,31900.0,51.9751739,5.7334804
242,Renswoude,Utrecht (provincie),5258.0,18.51,18.4,281.0,,52.0724219,5.5308677368115
243,Reusel-De Mierden,Noord-Brabant,13060.0,78.66,77.88,167.0,31400.0,51.37099705,5.14686666916687
244,Rheden,Gelderland,43686.0,84.35,81.74,532.0,28600.0,52.0043836,6.0302806
245,Rhenen,Utrecht (provincie),20012.0,43.76,42.08,471.0,30300.0,51.9808476,5.57456236683099
246,Ridderkerk,Zuid-Holland,46255.0,25.26,23.72,1931.0,28800.0,51.8709913,4.59264789748535
247,Rijssen-Holten,Overijssel,38296.0,94.38,94.13,405.0,29300.0,52.28432485,6.44077738065718
248,Rijswijk,Zuid-Holland,53486.0,14.49,13.96,3740.0,29200.0,52.03739335,4.32250283752741
249,Roerdalen,Limburg,20616.0,88.79,88.21,235.0,29000.0,51.1454677,6.03439237329791
250,Roermond,Limburg,58194.0,71.05,60.81,950.0,27200.0,51.1927811,6.00395278289544
251,De Ronde Venen,Utrecht (provincie),44064.0,116.98,99.92,437.0,35800.0,52.23257135,4.92032224585349
252,Roosendaal,Noord-Brabant,77072.0,107.16,106.5,723.0,28300.0,51.5304587,4.46449384552466
253,Rotterdam,Zuid-Holland,644527.0,324.16,217.57,2936.0,26200.0,51.9228934,4.4631786
254,Rozendaal,Gelderland,1654.0,27.92,27.9,56.0,,52.0394752,5.96302498250436
255,Rucphen,Noord-Brabant,22585.0,64.48,64.41,348.0,28500.0,51.5328422,4.5597188
257,Schagen,Noord-Holland,46563.0,187.28,168.25,276.0,30000.0,51.222716,6.2545389
258,Scherpenzeel,Gelderland,9874.0,13.81,13.79,707.0,30200.0,52.09036885,5.50720244576025
259,Schiedam,Zuid-Holland,78094.0,19.86,17.82,4371.0,26400.0,51.9300454,4.38645105261573
260,Schiermonnikoog,Friesland,936.0,199.07,40.5,23.0,,53.48332935,6.20277366603738
261,Schouwen-Duiveland,Zeeland,33789.0,488.21,229.65,147.0,30600.0,51.6874353,3.87663408803365
262,Simpelveld,Limburg,10505.0,16.03,16.03,659.0,28000.0,50.8355496,5.9827262
263,Sint Anthonis,Noord-Brabant,11612.0,99.76,99.27,117.0,31900.0,51.626921,5.8816763
265,Sint-Michielsgestel,Noord-Brabant,28982.0,59.34,58.38,491.0,33000.0,51.6391001,5.3515392
266,Sittard-Geleen,Limburg,92627.0,80.58,79.01,1177.0,27500.0,51.0094043,5.8376057867168
267,Sliedrecht,Zuid-Holland,25018.0,14.01,12.84,1949.0,27900.0,51.8308564,4.76984303118367
268,Sluis,Zeeland,23391.0,307.16,279.36,84.0,28400.0,51.3097693,3.3848221
269,Smallingerland,Friesland,55939.0,126.17,117.31,476.0,26500.0,53.11525265,6.0507389155877
271,Someren,Noord-Brabant,19321.0,81.5,80.27,238.0,30500.0,51.3858887,5.7133677
272,Son en Breugel,Noord-Brabant,16911.0,26.51,25.95,646.0,34200.0,51.5178128,5.49143470757426
273,Stadskanaal,Groningen (provincie),31801.0,119.94,117.64,274.0,25100.0,52.9925618,6.9624466
