,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Delft,Zuid-Holland,103217,22.65,4514.0,28200.0,51.9994572,4.362724538544,1.4,1.3563657149500566e-05,0.06181015452538632,0.0003072168344361878,73726.42857142858,43007,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Delfzijl,Groningen (provincie),24709,133.07,187.0,25800.0,53.380921799999996,6.93109835966104,0.1,4.0471083410902914e-06,0.0007514841812579846,0.0005385487069488851,247090.0,22462,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Den Haag,Zuid-Holland,537988,82.45,6459.0,28300.0,52.07494555,4.269680220536451,5.0,9.293887596005858e-06,0.06064281382656155,0.0007662810322906831,107597.6,89664,5,7.839117564691203e-06,0.03719749425023043,0.0008868277607354155,5.007061033517467e-06,0.024206055537566294,0.0003112290722426245
Den Helder,Noord-Holland,55600,45.25,1232.0,26400.0,52.9529894,4.8267591994488,0.8,1.4388489208633095e-05,0.017679558011049725,0.0006510791366906476,69500.0,30888,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Deurne,Noord-Brabant,32354,116.93,275.0,29500.0,51.461192600000004,5.791461099999999,1.1,3.399888730914261e-05,0.009407337723424272,0.0039754898930580455,29412.727272727272,15406,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Deventer,Overijssel,99941,130.68,763.0,27600.0,52.24927325,6.1761306398455895,1.9,1.9011216617804502e-05,0.014539332721150901,0.0024843857876146926,52600.52631578947,34462,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Diemen,Noord-Holland,29205,11.99,2345.0,29500.0,52.335049299999994,4.98428432770381,3.7,0.00012669063516521144,0.3085904920767306,0.0015190207156308851,7893.243243243242,6213,6,0.00011342668916943451,0.317186548625726,0.0014743329325001273,3.96718930066559e-05,0.1181329667066823,0.0005648140998616572
Dinkelland,Overijssel,26340,175.71,150.0,30800.0,52.371448799999996,6.91506661931692,0.1,3.7965072133637056e-06,0.0005691195720220818,0.0006670842824601367,263400.0,23945,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Doesburg,Gelderland,11142,11.53,983.0,26800.0,52.0187505,6.151558274308551,0.4,3.5900197451085984e-05,0.034692107545533396,0.00041392927661102136,27855.0,7958,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Doetinchem,Gelderland,57543,79.05,726.0,28000.0,51.9655192,6.2891093,0.4,6.9513233581843144e-06,0.005060088551549652,0.00054950211146447,143857.5,41102,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
